Program,Category,Shortcut,Action
Outlook,Contacts,Ctrl+Shift+Period,"In an open contact, open the next contact listed."
Outlook,Contacts,F11,"Find a contact in Favorites."
Outlook,Contacts,Esc,"Close a contact."
Outlook,Contacts,Ctrl+Shift+X,"Send a fax to the selected contact."
Outlook,Contacts,Alt+D,"Open the Check Address dialog."
Outlook,Contacts,Alt+Shift+1,"In a contact form, under Internet, display the Email 1 information."
Outlook,Contacts,Alt+Shift+2,"In a contact form, under Internet, display the Email 2 information."
Outlook,Contacts,Alt+Shift+3,"In a contact form, under Internet, display the Email 3 information."
Outlook,Tasks,Ctrl+C,"Accept a task request."
Outlook,Tasks,Ctrl+D,"Decline a task request."
Outlook,Tasks,Ctrl+E,"Find a task or other item."
Outlook,Tasks,Ctrl+Y,"Open the Go to Folder dialog."
Outlook,Tasks,Ctrl+N,"Create a task when in Tasks view."
Outlook,Tasks,Ctrl+Shift+K,"Create a task from any Outlook view."
Outlook,Tasks,Ctrl+O,"Open the selected item."
Outlook,Tasks,Ctrl+P,"Print the selected item."
Outlook,Tasks,Ctrl+A,"Select all items."
Outlook,Tasks,Ctrl+D,"Delete selected item."
Outlook,Tasks,Ctrl+F,"Forward a task as an attachment."
Outlook,Tasks,Ctrl+Shift+Alt+U,"Create a task request."
Outlook,Tasks,Shift+Tab,"Switch between the Folder pane, Tasks list, and To-Do bar."
Outlook,Tasks,Ctrl+Z,"Undo the last action."
Outlook,Tasks,Insert,"Flag an item or mark complete."
Outlook,Macros,Alt+F11,"Open the Visual Basic Editor."
Outlook,Macros,Alt+F8,"Play a macro."
Word,General,Ctrl+O,"Open a document."
Word,General,Ctrl+N,"Create a new document."
Word,General,Ctrl+S,"Save the document."
Word,General,Ctrl+W,"Close the document."
Word,General,Ctrl+X,"Cut the selected content to the Clipboard."
Word,General,Ctrl+C,"Copy the selected content to the Clipboard."
Word,General,Ctrl+V,"Paste the contents of the Clipboard."
Word,General,Ctrl+A,"Select all document content."
Word,General,Ctrl+B,"Apply bold formatting to text."
Word,General,Ctrl+I,"Apply italic formatting to text."
Word,General,Ctrl+U,"Apply underline formatting to text."
Word,General,Ctrl+Left bracket,"Decrease the font size by 1 point."
Word,General,Ctrl+Right bracket,"Increase the font size by 1 point."
Word,General,Ctrl+E,"Center the text."
Word,General,Ctrl+L,"Align the text to the left."
Word,General,Ctrl+R,"Align the text to the right."
Word,General,Esc,"Cancel a command."
Word,General,Ctrl+Z,"Undo the previous action."
Word,General,Ctrl+Y,"Redo the previous action, if possible."
Word,General,Ctrl+Alt+S,"Split the document window."
Word,General,Ctrl+Alt+S,"Remove the document window split."
Word,Ribbon,Alt+Q,"Move to the Tell me or Search field on the Ribbon to search for assistance or Help content."
Word,Ribbon,Alt+F,"Open the File page to use Backstage view."
Word,Ribbon,Alt+H,"Open the Home tab to use common formatting commands, paragraph styles, and the Find tool."
Word,Ribbon,Alt+N,"Open the Insert tab to insert tables, pictures and shapes, headers, or text boxes."
Word,Ribbon,Alt+G,"Open the Design tab to use themes, colors, and effects, such as page borders."
Word,Ribbon,Alt+P,"Open the Layout tab to work with page margins, page orientation, indentation, and spacing."
Word,Ribbon,Alt+S,"Open the References tab to add a table of contents, footnotes, or a table of citations."
Word,Ribbon,Alt+M,"Open the Mailings tab to manage Mail Merge tasks and to work with envelopes and labels."
Word,Ribbon,Alt+R,"Open the Review tab to use Spell Check, set proofing languages, and to track and review changes to your document."
Word,Ribbon,Alt+W,"Open the View tab to choose a document view or mode, such as Read Mode or Outline view. You can also set the zoom magnification and manage multiple document windows."
Word,Navigation,Ctrl+Left arrow,"Move the cursor one word to the left."
Word,Navigation,Ctrl+Right arrow,"Move the cursor one word to the right."
Word,Navigation,Ctrl+Up arrow,"Move the cursor up by one paragraph."
Word,Navigation,Ctrl+Down arrow,"Move the cursor down by one paragraph."
Word,Navigation,End,"Move the cursor to the end of the current line."
Word,Navigation,Home,"Move the cursor to the beginning the current line."
Word,Navigation,Ctrl+Alt+Page up,"Move the cursor to the top of the screen."
Word,Navigation,Ctrl+Alt+Page down,"Move the cursor to the bottom of the screen."
Word,Navigation,Page up,"Move the cursor by scrolling the document view up by one screen."
Word,Navigation,Page down,"Move the cursor by scrolling the document view down by one screen."
Word,Navigation,Ctrl+Page down,"Move the cursor to the top of the next page."
Word,Navigation,Ctrl+Page up,"Move the cursor to the top of the previous page."
Word,Navigation,Ctrl+End,"Move the cursor to the end of the document."
Word,Navigation,Ctrl+Home,"Move the cursor to the beginning of the document."
Word,Navigation,Shift+F5,"Move the cursor to the location of the previous revision."
Word,Navigation,Ctrl+Alt+5,"Cycle through floating shapes, such as text boxes or images."
Word,Navigation,Esc,"Exit the floating shape navigation and return to the normal navigation."
Word,Navigation,Ctrl+F,"Display the Navigation task pane, to search within the document content."
Word,Navigation,Ctrl+G,"Display the Go To dialog, to navigate to a specific page, bookmark, footnote, table, comment, graphic, or other location."
Word,Navigation,Ctrl+Alt+Z,"Cycle through the locations of the four previous changes made to the document."
Word,Print,Ctrl+P,"Print the document."
Word,Print,Ctrl+Alt+I,"Switch to print preview."
Word,Print,Page down,"Move by one preview page when zoomed out."
Word,Print,Page up,"Move by one preview page when zoomed out."
Word,Print,Ctrl+Home,"Move to the first preview page when zoomed out."
Word,Print,Ctrl+End,"Move to the last preview page when zoomed out."
Word,Selection,Ctrl+Shift+Left arrow,"Select the word to the left."
Word,Selection,Ctrl+Shift+Right arrow,"Select the word to the right."
Word,Selection,Shift+Home,"Select from the current position to the beginning of the current line."
Word,Selection,Shift+End,"Select from the current position to the end of the current line."
Word,Selection,Ctrl+Shift+Up arrow,"Select from the current position to the beginning of the current paragraph."
Word,Selection,Ctrl+Shift+Down arrow,"Select from the current position to the end of the current paragraph."
Word,Selection,Shift+Page up,"Select from the current position to the top of the screen."
Word,Selection,Shift+Page down,"Select from the current position to the bottom of the screen."
Word,Selection,Ctrl+Shift+Home,"Select from the current position to the beginning of the document."
Word,Selection,Ctrl+Shift+End,"Select from the current position to the end of the document."
Word,Selection,Ctrl+Alt+Shift+Page down,"Select from the current position to the bottom of the window."
Word,Selection,Ctrl+A,"Select all document content."
Word,Edit,Ctrl+Backspace,"Delete one word to the left."
Word,Edit,Ctrl+Delete,"Delete one word to the right."
Word,Edit,Alt+H+F+O,"Open the Clipboard task pane and enable the Office Clipboard, which allows you to copy and paste content between Microsoft Office apps."
Word,Edit,Ctrl+X,"Cut the selected content to the Clipboard."
Word,Edit,Ctrl+C,"Copy the selected content to the Clipboard."
Word,Edit,Ctrl+V,"Paste the contents of the Clipboard."
Word,Edit,Alt+F3,"Define an AutoText block with the selected content."
Word,Edit,Ctrl+F3,"Cut the selected content to the Spike."
Word,Edit,Ctrl+Shift+F3,"Paste the contents of the Spike."
Word,Edit,Ctrl+Shift+C,"Copy the selected formatting."
Word,Edit,Ctrl+Shift+V,"Paste the selected formatting."
Word,Edit,Alt+Shift+R,"Copy the header or footer used in the previous section of the document."
Word,Edit,Ctrl+H,"Display the Replace dialog, to find and replace text, specific formatting, or special items."
Word,Edit,Alt+N+J+J,"Display the Object dialog, to insert a file object into the document."
Word,Edit,Alt+N+M,"Insert a SmartArt graphic."
Word,Edit,Alt+N+W,"Insert a WordArt graphic."
Word,Paragraph Format,Ctrl+E,"Center the paragraph."
Word,Paragraph Format,Ctrl+J,"Justify the paragraph."
Word,Paragraph Format,Ctrl+L,"Align the paragraph to the left."
Word,Paragraph Format,Ctrl+R,"Align the paragraph to the right."
Word,Paragraph Format,Ctrl+M,"Indent the paragraph."
Word,Paragraph Format,Ctrl+Shift+M,"Remove a paragraph indent."
Word,Paragraph Format,Ctrl+T,"Create a hanging indent."
Word,Paragraph Format,Ctrl+Shift+T,"Remove a hanging indent."
Word,Paragraph Format,Ctrl+Q,"Remove paragraph formatting."
Word,Paragraph Format,Ctrl+1,"Apply single spacing to the paragraph."
Word,Paragraph Format,Ctrl+2,"Apply double spacing to the paragraph."
Word,Paragraph Format,Ctrl+5,"Apply 1.5-line spacing to the paragraph."
Word,Paragraph Format,Ctrl+0,"Add or remove space before the paragraph."
Word,Paragraph Format,Ctrl+Alt+K,"Enable AutoFormat."
Word,Paragraph Format,Ctrl+Shift+N,"Apply the Normal style."
Word,Paragraph Format,Ctrl+Alt+1,"Apply the Heading 1 style."
Word,Paragraph Format,Ctrl+Alt+2,"Apply the Heading 2 style."
Word,Paragraph Format,Ctrl+Alt+3,"Apply the Heading 3 style."
Word,Paragraph Format,Ctrl+Shift+S,"Display the Apply Styles task pane."
Word,Paragraph Format,Ctrl+Alt+Shift+S,"Display the Styles task pane."
Word,Text Format,Ctrl+D,"Display the Font dialog."
Word,Text Format,Ctrl+Shift+Comma,"Increase the font size."
Word,Text Format,Ctrl+Shift+Period,"Decrease the font size."
Word,Text Format,Ctrl+Right bracket,"Increase the font size by 1 point."
Word,Text Format,Ctrl+Left bracket,"Decrease the font size by 1 point."
Word,Text Format,Shift+F3,"Switch the text between upper case, lower case, and title case."
Word,Text Format,Ctrl+Shift+A,"Change the text to all upper case."
Word,Text Format,Ctrl+Shift+H,"Hide the selected text."
Word,Text Format,Ctrl+B,"Apply bold formatting."
Word,Text Format,Ctrl+U,"Apply underline formatting."
Word,Text Format,Ctrl+Shift+W,"Apply underline formatting to the words, but not the spaces."
Word,Text Format,Ctrl+Shift+D,"Apply double-underline formatting."
Word,Text Format,Ctrl+I,"Apply italics formatting."
Word,Text Format,Ctrl+Shift+K,"Apply small caps formatting."
Word,Text Format,Ctrl+Equal sign,"Apply subscript formatting."
Word,Text Format,Ctrl+Shift+Equal sign,"Apply superscript formatting."
Word,Text Format,Ctrl+Space,"Remove manual character formatting."
Word,Text Format,Ctrl+Shift+Q,"Change the selected text to the Symbol font."
Word,Special Characters,Shift+Enter,"Insert a line break."
Word,Special Characters,Ctrl+Enter,"Insert a page break."
Word,Special Characters,Ctrl+Shift+Enter,"Insert a column break."
Word,Special Characters,Ctrl+Minus sign,"Insert an optional hyphen."
Word,Special Characters,Ctrl+Shift+Minus sign,"Insert a nonbreaking hyphen."
Word,Special Characters,Ctrl+Shift+Space,"Insert a nonbreaking space."
Word,Special Characters,Ctrl+Alt+C,"Insert a copyright symbol (©)."
Word,Special Characters,Ctrl+Alt+R,"Insert a registered trademark symbol (®)."
Word,Special Characters,Ctrl+Alt+T,"Insert a trademark symbol (™)."
Word,Special Characters,Ctrl+Alt+Period,"Insert an ellipsis (…)"
Word,Special Characters,Alt+X,"Insert the Unicode character for the specified Unicode (hexadecimal) character code. For example, to insert the euro currency symbol, type 20AC, and then hold down Alt and press X. Tip: To find out the Unicode character code for a selected character, press Alt+X."
Word,Table,Tab,"Move to the next cell in the row and select its content."
Word,Table,Shift+Tab,"Move to the previous cell in the row and select its content."
Word,Table,Alt+Home,"Move to the first cell in the row."
Word,Table,Alt+End,"Move to the last cell in the row."
Word,Table,Alt+Page up,"Move to the first cell in the column."
Word,Table,Alt+Page down,"Move to the last cell in the column."
Word,Table,Up arrow,"Move to the previous row."
Word,Table,Down arrow,"Move to the next row."
Word,Table,Alt+Shift+Up arrow,"Move one row up."
Word,Table,Alt+Shift+Down arrow,"Move one row down."
Word,Review,Ctrl+Alt+M,"Insert a comment."
Word,Review,Ctrl+Shift+E,"Turn change tracking on or off."
Word,Review,Alt+Shift+C,"Close the Reviewing Pane."
Word,References,Alt+Shift+O,"Mark a table of contents entry."
Word,References,Alt+Shift+I,"Mark a table of authorities entry (citation)."
Word,References,Alt+Shift+X,"Mark an index entry."
Word,References,Ctrl+Alt+F,"Insert a footnote."
Word,References,Ctrl+Alt+D,"Insert an endnote."
Word,References,Alt+Shift+Comma,"Go to the next footnote."
Word,References,Alt+Shift+Period,"Go to the previous footnote."
Word,Mail Merge,Alt+Shift+K,"Preview the mail merge."
Word,Mail Merge,Alt+Shift+N,"Merge a document."
Word,Mail Merge,Alt+Shift+M,"Print the merged document."
Word,Mail Merge,Alt+Shift+E,"Edit a mail-merge data document."
Word,Mail Merge,Alt+Shift+F,"Insert a merge field."
Word,Fields,Alt+Shift+D,"Insert a DATE field."
Word,Fields,Ctrl+Alt+L,"Insert a LISTNUM field."
Word,Fields,Alt+Shift+P,"Insert a PAGE field."
Word,Fields,Alt+Shift+T,"Insert a TIME field."
Word,Fields,Ctrl+F9,"Insert an empty field."
Word,Fields,Ctrl+Shift+F7,"Update the linked information in a Microsoft Word source document."
Word,Fields,F9,"Update the selected fields."
Word,Fields,Ctrl+Shift+F9,"Unlink a field."
Word,Fields,Shift+F9,"Switch between a selected field code and its result."
